# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 1323017796
#
# Overhead  Command          Shared Object              Symbol                                                                                         
# ........  ...............  .........................  ...........................................................................................................................................................................................................
#
    22.90%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Extensional::Incremental<Gecode::Int::IntView>::copy                                                                                                                                      
    14.08%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Extensional::Incremental<Gecode::Int::IntView>::propagate                                                                                                                                 
    11.08%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Extensional::Incremental<Gecode::Int::IntView>::advise                                                                                                                                    
     8.99%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::IntVarImp::nq_full                                                                                                                                                                        
     8.09%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Distinct::DomCtrl<Gecode::Int::IntView>::propagate                                                                                                                                        
     4.30%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Channel::prop_dom<Gecode::Int::IntView, Gecode::Int::NoOffset<Gecode::Int::IntView> >                                                                                                     
     4.01%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Distinct::DomCtrl<Gecode::Int::IntView>::sync                                                                                                                                             
     3.96%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Distinct::DomCtrl<Gecode::Int::IntView>::init                                                                                                                                             
     2.77%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::IntVarImp::perform_copy                                                                                                                                                                   
     2.21%  black-hole-pati  libgecodekernel.so.43.0    [.] Gecode::Space::_clone                                                                                                                                                                                  
     2.04%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Channel::doprop_val<Gecode::Int::IntView, Gecode::Int::NoOffset<Gecode::Int::IntView>, Gecode::Int::Channel::DomInfo<Gecode::Int::IntView, Gecode::Int::NoOffset<Gecode::Int::IntView> > >
     1.47%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::ReLqBin<int, Gecode::Int::IntView, Gecode::Int::MinusView, (Gecode::ReifyMode)0>::copy                                                                                            
     1.30%  black-hole-pati  libgecodekernel.so.43.0    [.] Gecode::Space::status                                                                                                                                                                                  
     1.24%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Channel::Dom<Gecode::Int::IntView, Gecode::Int::NoOffset<Gecode::Int::IntView>, false>::propagate                                                                                         
     0.90%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::ReLqBin<int, Gecode::Int::IntView, Gecode::Int::MinusView, (Gecode::ReifyMode)0>::propagate                                                                                       
     0.79%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Channel::Dom<Gecode::Int::IntView, Gecode::Int::NoOffset<Gecode::Int::IntView>, false>::copy                                                                                              
     0.76%  black-hole-pati  ld-2.12.so                 [.] do_lookup_x                                                                                                                                                                                            
     0.74%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::IntVarImp::eq_full                                                                                                                                                                        
     0.68%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Extensional::Incremental<Gecode::Int::IntView>::dispose                                                                                                                                   
     0.62%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::IntVarImp::gq_full                                                                                                                                                                        
     0.51%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::ReLinBin<int, Gecode::Int::IntView, Gecode::Int::MinusView, 1, Gecode::Int::BoolView>::dispose                                                                                    
     0.40%  black-hole-pati  libgecodekernel.so.43.0    [.] Gecode::Space::Space                                                                                                                                                                                   
     0.40%  black-hole-pati  black-hole-patience        [.] BlackHole::copy                                                                                                                                                                                        
     0.34%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::BoolVarImp::zero_none                                                                                                                                                                     
     0.28%  black-hole-pati  libc-2.12.so               [.] _int_malloc                                                                                                                                                                                            
     0.28%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::BoolVarImp::one_none                                                                                                                                                                      
     0.24%  black-hole-pati  [unknown]                  [k] 0xffffffff812a0201                                                                                                                                                                                     
     0.23%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::LqBin<int, Gecode::Int::IntView, Gecode::Int::MinusView>::propagate                                                                                                               
     0.23%  black-hole-pati  libc-2.12.so               [.] free                                                                                                                                                                                                   
     0.18%  black-hole-pati  [unknown]                  [k] 0xffffffff812a6ee7                                                                                                                                                                                     
     0.17%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::ReLinBin<int, Gecode::Int::IntView, Gecode::Int::MinusView, 1, Gecode::Int::BoolView>::cost                                                                                       
     0.17%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::ViewArray<Gecode::Int::NegBoolView>::update                                                                                                                                                    
     0.17%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::LqBin<int, Gecode::Int::IntView, Gecode::Int::MinusView>::copy                                                                                                                    
