ct ge
107 87
94 67
55 57
41 40
27 28
65 67
58 55
57 55
42 40
28 28
974 883
844 736
1036 881
300666 13678
717 1166
1630 1331
1435 1245
813 1104
815 1021
1923 1428
1603 1798
4585 1829
301718 4167
301289 1812
1366 1693
1456 1744
1396 1592
1504 1828
1333 1928
1256 1950
302238 6595
2245 2633
302060 2814
302276 302702
9193 302608
302081 2845
2954 2567
2341 2483
2586 3175
302287 302795
2289 2777
2867 3608
302759 58218
6039 4293
5841 3584
303224 303811
3222 3980
302962 303793
302468 302905
302862 302981
2 2
5 5
20 21
40 41
42 41
80 59
63 84
196 114
123 128
121 124
150 149
106 109
165 169
219 223
280 282
437 461
732 737
607 620
823 824
186 183
432 421
376 323
